branches,commit_id,commit_time,commit_weekday,commit_hour,commit_month,commit_day,commit_message,commit_type,author,file,file_type,dev_type,commit_count,commit_size,commit_stability,commit_conflict,code_contribution,affected_files,dependencies,dependencies_count
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,"""\t\345\220\214\347\220\206\345\277\203\350\203\275\345\212\233\346\265\213\350\257\225.json""","json""",Other,1,156,0,False,0,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,"""\t\345\244\247\345\255\246\347\224\237\346\203\205\347\273\252\350\256\244\347\237\245\344\270\216\346\203\205\347\273\252\350\207\252\346\210\221\350\260\203\350\212\202\350\260\203\346\237\245\351\227\256\345\215\267.json""","json""",Other,1,239,0,False,0,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,"""\t\345\271\270\347\246\217\346\204\237\350\260\203\346\237\245\351\227\256\345\215\267.json""","json""",Other,1,210,0,False,0,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,"""\n\t\345\244\247\345\255\246\347\224\237\346\203\205\347\273\252\350\256\244\347\237\245\344\270\216\346\203\205\347\273\252\350\207\252\346\210\221\350\260\203\350\212\202\350\260\203\346\237\245\351\227\256\345\215\267\n.json""","json""",Other,1,239,0,False,0,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,NLP.py,py,Backend,1,31,1,False,31,"[""git_stats.py""]","[""from keras import datasets, layers, models""]",1
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,Scaled.py,py,Backend,1,35,1,False,35,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,Temp.py,py,Backend,1,39,1,False,39,"[""git_stats.py""]","[""from sklearn.decomposition import PCA"", ""from sklearn.datasets import fetch_lfw_people""]",2
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,__pycache__/Scaled.cpython-38.pyc,pyc,Other,1,0,1,False,12,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,__pycache__/utils.cpython-38.pyc,pyc,Other,1,0,1,False,21,"[""git_stats.py""]",[],0
"[""main""]",34273fce70b1101d5da9dd9587f61cf98fecaf64,2023-06-19 14:30:21+08:00,0,14,6,19,init,Other,edwin,ai-1.ipynb,ipynb,Other,1,127,1,False,127,"[""git_stats.py""]",[],0
